    res     record           opponent                                            method                                   event  round  time                                    location
0  loss  5 - 4 - 1     duane bastress                             tko (doctor stoppage)                             bellator 54      2  5:00  atlantic city , new jersey , united states
1  loss  5 - 3 - 1      tim carpenter                                  decision (split)                             bellator 38      3  5:00        tunica , mississippi , united states
2   win  5 - 2 - 1      martin wojcik                   submission (rear - naked choke)                     israel fc : genesis      1  2:17                           tel aviv , israel
3  loss  4 - 2 - 1         allan goes                                     tko (punches)     ifl : world championship semifinals      2  1:03           portland , oregon , united states
4   win  4 - 1 - 1           wes sims  technical submission (standing rear naked choke)                 ifl : championship 2006      1  2:42  atlantic city , new jersey , united states
5  draw  3 - 1 - 1           wes sims                                    technical draw  gfc : team gracie vs team hammer house      2  5:00             columbus , ohio , united states
6   win      3 - 1      wataru sakata                               submission (armbar)                    pride shockwave 2003      1  7:12                   saitama , saitama , japan
7  loss      2 - 1  kazuhiro nakamura                              decision (unanimous)                         pride bushido 1      2  5:00                   saitama , saitama , japan
8   win      2 - 0  shinsuke nakamura                              submission (armlock)                inoki bom - ba - ye 2002      2  2:14                   saitama , saitama , japan
9   win      1 - 0    takashi sugiura                                  decision (split)                                pride 21      3  5:00                   saitama , saitama , japan
