    pick             player    position    nationality             nhl team                college / junior / club team
0    183     jason boudrias     forward         canada     florida panthers                         laval titan (qmjhl)
1    184     brad englehart      centre         canada        anaheim ducks  kimball union academy (hs - new hampshire)
2    185          rob guinn     defence         canada      edmonton oilers                      newmarket royals (ohl)
3    186    ramil saifullin      centre         russia        winnipeg jets                      omsk avangard (russia)
4    187        tom buckley      centre  united states     hartford whalers    st joseph 's high school (hs - new york)
5    188         jason reid     defence         canada      edmonton oilers         st andrew 's college (hs - ontario)
6    189        andrew dale      centre         canada    los angeles kings                        sudbury wolves (ohl)
7    190     alexei baranov     defence         russia  tampa bay lightning                      moscow dynamo (russia)
8    191        jay bertsch  right wing         canada     quebec nordiques                        spokane chiefs (whl)
9    192       derek diener     defence         canada  philadelphia flyers                 lethbridge hurricanes (whl)
10   193        eric landry  right wing         canada      san jose sharks                          guelph storm (ohl)
11   194         mike loach  right wing         canada         ny islanders                     windsor spitfires (ohl)
12   195       rob trumbley  right wing         canada    vancouver canucks                    moose jaw warriors (whl)
13   196     mike josephson   left wing         canada   chicago blackhawks                      kamloops blazers (whl)
14   197      chris patrick      centre  united states  washington capitals         kent high school (hs - connecticut)
15   198        steve noble      centre         canada       st louis blues                 stratford cullitons (mojhl)
16   199       bob westerby   left wing         canada       buffalo sabres                      kamloops blazers (whl)
17   200        peter strom  right wing         sweden   montreal canadiens                 västra frölunda hc (sweden)
18   201  keith mccambridge     defence         canada       calgary flames                 swift current broncos (whl)
19   202         ray giroux     defence         canada  philadelphia flyers                      powassan hawks (mwjhl)
20   203      peter hogardh  right wing         sweden         ny islanders                 västra frölunda hc (sweden)
21   204         rob butler   left wing         canada  toronto maple leafs               niagara falls canucks (ghjhl)
22   205      jason elliott  goaltender         canada    detroit red wings                   cornell university (ncaa)
23   206      boris zelenko      centre         russia  pittsburgh penguins                        cska moscow (russia)
24   207      eric bertrand   left wing         canada    new jersey devils                       granby bisons (qmjhl)
25   208     craig anderson     defence  united states           ny rangers    park center high school (hs - minnesota)
