            january          february              march                april            june               july            august         september                               october           november          december
0       jill taylor    linda forsythe        chris koren      barbara hillary   elaine morton       carol willis      sharon clark    debbie ellison  madeleine collinson & mary collinson        avis miller       carol imhof
1     liv lindeland         willy rey       cynthia hall       chris cranston   lieko english  heather van every     cathy rowland     crystal smith                        claire rambeau  danielle de vabre     karen christy
2      marilyn cole       p j lansing     ellen michaels         vicki peters    debbie davis       carol o'neal     linda summers      susan miller                       sharon johansen     lenna sjooblom      mercy rooney
3       miki garcia        cyndi wood       bonnie large        julie woodson      ruthy ross       martha smith   phyllis coleman        geri glass                          valerie lane     monica tidwell  christine maddox
4     nancy cameron    francine parks     pamela zinszer       marlene morrow   sandy johnson       carol vitale       jean manson   kristine hanson                          ester cordet         bebe buell    janice raymond
5    lynnda kimball       laura misch  ingeborg sorensen  victoria cunningham    azizi johari      lynn schiller   lillian mã¼ller     mesina miller                         jill de vries         janet lupo  nancie li brandi
6       daina house       laura lyons     ann pennington       denise michele  debra peterson    deborah borkman      linda beatty     whitney kaine                            hope olson      patti mcguire      karen hafter
7  susan lynn kiger        star stowe       nicki thomas            lisa sohm      virve reid    sondra theodore      julia lyndon  debra jo fondren                       kristine winder           rita lee        ashley cox
8      debra jensen     janis schmitt    christina smith   pamela jean bryant    gail stanton       karen morton        vicki witt     rosanne katon                          marcy hanson  monique st pierre       janet quist
9      candy loving  lee ann michelle   denise mcconnell      missy cleveland  louann fernald       dorothy mays  dorothy stratten     vicki mccarty                    ursula buchfellner      sylvie garant   candace collins
