                     2004 / 05                   2007 / 08                   2010 / 11                   2011 / 12                   2012 / 13
0                           ur                          ur        ur he was an amateur                          ur                          ur
1          ranking tournaments         ranking tournaments         ranking tournaments         ranking tournaments         ranking tournaments
2                     not held                    not held               non - ranking               non - ranking                           a
3                     not held                    not held                    not held                           a                           a
4                     not held                          lq                           a                           a                           a
5                     not held                    not held                    not held                    not held                    not held
6                     not held                    not held                    not held                    not held                           a
7                            a                          lq                           a                           a                           a
8                     not held                    not held                           a                           a                           a
9                     not held                    not held                         dnq                         dnq                         dnq
10                          lq                          lq                           a                           a                           a
11  former ranking tournaments  former ranking tournaments  former ranking tournaments  former ranking tournaments  former ranking tournaments
12                    not held                          lq                    not held                    not held                    not held
