     rank          nation  gold  silver  bronze  total
0       1    soviet union     5       3       4     12
1       2    west germany     4       2       4     10
2       3         hungary     1       5       0      6
3       4  czechoslovakia     0       3       2      5
4       5         romania     1       1       1      3
5       6          sweden     0       1       2      3
6       7          poland     2       0       0      2
7       8         belgium     1       0       0      1
8       9         finland     1       0       0      1
9      10         denmark     0       0       1      1
10     11    east germany     0       0       1      1
11  total           total    15      15      15     45
