    draw    language                        artist                                  song                  english translation  place  points
0      1     spanish                 azúcar moreno                               bandido                               bandit      5      96
1      2       greek        christos callow & wave             horis skopo (χωρίς σκοπό)                    without a purpose     19      11
2      3      french           philippe lafontaine                          macédomienne                  my macedonian woman     12      46
3      4     turkish  kayahan feat demet sağıroğlu                gözlerinin hapsindeyim              i'm caught in your eyes     17      21
4      5       dutch                       maywood             ik wil alles met je delen  i want to share everything with you     15      25
5      6      french                  céline carzo                      quand je te rêve                  when i dream of you     13      38
6      7     english                          emma  give a little love back to the world                                    -      6      87
7      8   icelandic                      stjórnin                          eitt lag enn                        one more song      4     124
8      9   norwegian                 ketil stokkan                     brandenburger tor                     brandenburg gate     21       8
9     10      hebrew               rita kleinstein         shara barkhovot (שרה ברחובות)               singing in the streets     18      16
10    11      danish              lonnie devantier                           hallo hallo                          hello hello      8      64
11    12      german                  egon egemann       musik klingt in die welt hinaus          music resounds in the world     11      51
12    13      german  chris kempers & daniel kovac                         frei zu leben                         free to live      9      60
13    14      french                 joëlle ursull                 white and black blues                                    -      2     132
14    15    croatian                         tajči                     hajde da ludujemo                      let 's go crazy      7      81
15    16  portuguese                         nucha                      há sempre alguém              there 's always someone     20       9
16    17     english                   liam reilly                   somewhere in europe                                    -      2     132
17    18     swedish                  edin - ådahl                           som en vind                          like a wind     16      24
18    19     italian                  toto cutugno                        insieme : 1992                      together : 1992      1     149
19    20      german                        simone                     keine mauern mehr                     no walls anymore     10      58
20    21       greek              haris anastasiou               milas poli (μιλάς πολύ)                    you talk too much     14      36
21    22     swedish                          beat                                   fri                                 free     21       8
