                         elector             place of birth                              cardinalatial title            elevated        elevator
0         konrad von wittelsbach                    bavaria         bishop of sabina and archbishop of mainz  december 18 , 1165   alexander iii
1       henri de marsiac , ocist  chãteau de marcy , france                                 bishop of albano          march 1179  aleksander iii
2       giovanni conti da anagni                     anagni                                priest of s marco         1158 / 1159       adrian iv
3       ruggiero di san severino               san severino  priest of s eusebio and archbishop of benevento      ca 1178 - 1180   alexander iii
4   guillaume aux blanches mains                     france       priest of s sabina and archbishop of reims          march 1179   alexander iii
5                  albino , crsf                      gaeta                 priest of s croce in gerusalemme  december 18 , 1182      lucius iii
6                       pandolfo                      lucca                        priest of ss xii apostoli  december 18 , 1182      lucius iii
7              adelardo cattaneo                     verona                             priest of s marcello     march 16 , 1185      lucius iii
8                       soffredo                    pistoia                    deacon of s maria in via lata  december 18 , 1182      lucius iii
9                           bobo                       rome                  deacon of s angelo in pescheria  december 18 , 1182      lucius iii
10                       gerardo                      lucca                              deacon of s adriano  december 18 , 1182      lucius iii
