   season  races  wins  podiums  poles  fastest laps
0    2003     10     0        0      0             0
1    2003      5     0        0      0             0
2    2004     14     0        0      0             0
3    2005     16     1        2      0             0
4    2006     14     0        0      0             0
5    2007     15     0        0      0             0
6    2008     17     4        9      2             4
7    2009     16     0        2      1             0
8    2010     16     0        0      0             0
9    2011     17     0        0      0             0
10   2012     16     0        0      0             0
11   2013     10     0        0      0             0
12  total    166     5       13      3             4
