                         elector nationality  faction             elevated       elevator
0          nicolò albertini , op       prato  italian   1303 , december 18    benedict xi
1      bérenger frédol , seniore      french   french   1305 , december 15      clement v
2           arnaud de falguières      french   gascon   1310 , december 19      clement v
3   guillaume de mandagot , crsa      french   french   1312 , december 23      clement v
4                   arnaud d'aux      french   gascon   1312 , december 23      clement v
5                 jacques d'euse      french   french   1312 , december 23      clement v
6     nicolas de fréauville , op      french   french   1305 , december 15      clement v
7          arnaud nouvel , ocist      french   gascon   1310 , december 19      clement v
8     bérenguer frédol , iuniore      french   french   1312 , december 23      clement v
9        michel du bec - crespin      french   french   1312 , december 23      clement v
10               guillaume teste      french   gascon   1312 , december 23      clement v
11   guillaume pierre godin , op      french   gascon   1312 , december 23      clement v
12           vital du four , ofm      french   gascon   1312 , december 23      clement v
13                 raymond , osb      french   gascon   1312 , december 23      clement v
14               giacomo colonna       roman  italian      1278 , march 12   nicholas iii
15              napoleone orsini       roman  italian        1288 , may 16    nicholas iv
16                pietro colonna       roman  italian        1288 , may 16    nicholas iv
17           guglielmo de longhi     bergamo  italian  1294 , september 18    celestine v
18   giacomo gaetani stefaneschi        rome  italian   1295 , december 17  boniface viii
19             francesco caetani        rome  italian   1295 , december 17  boniface viii
20                   luc fieschi     genoese  italian       1300 , march 2  boniface viii
21           arnaud de pellegrue      french   gascon   1305 , december 15      clement v
22  raymond guillaume des forges      french   gascon   1310 , december 19      clement v
23             bernard de garves      french   gascon   1310 , december 19      clement v
