     rank          nation  gold  silver  bronze  total
0       1          israel   228     194     172    594
1       2   united states    73      85      69    227
2       3          russia    15      18      18     51
3       4    south africa    13       8       8     29
4       5          canada    11      15      21     47
5       6       venezuela     6       2       2     10
6       7         ukraine     5       2       2      9
7       8          brazil     4       1       5     10
8       9       australia     3       8      27     38
9      10       argentina     3       4       6     13
10     11         germany     2       5       2      9
11     12         hungary     2       2       4      8
12     13     netherlands     2       0       0      2
13     14          mexico     1       7      19     27
14     15  united kingdom     1       7      15     23
15     16          france     1       4       3      8
16     17         georgia     1       1       1      3
17     18          latvia     1       1       0      2
18     19        portugal     1       0       1      2
19     20         belarus     1       0       0      1
20     20           italy     1       0       0      1
21     22          sweden     0       1       3      4
22     23          poland     0       1       0      1
23     23         austria     0       1       0      1
24     25      azerbaijan     0       0       3      3
25     26           chile     0       0       1      1
26     26      costa rica     0       0       1      1
27     26           india     0       0       1      1
28     26         romania     0       0       1      1
29     26     switzerland     0       0       1      1
30     26          turkey     0       0       1      1
31  total           total   375     367     387   1129
