   place            player        country  score to par
0      1  tze - chung chen         taiwan     65    - 5
1      2      fred couples  united states     66    - 4
2     t3         andy bean  united states     69    - 1
3     t3         rick fehr  united states     69    - 1
4     t3          jay haas  united states     69    - 1
5     t3          tom kite  united states     69    - 1
6     t3         mike reid  united states     69    - 1
7     t8         dave barr         canada     70      e
8     t8      bill glasson  united states     70      e
9     t8     skeeter heath  united states     70      e
10    t8        andy north  united states     70      e
11    t8       gene sauers  united states     70      e
12    t8     payne stewart  united states     70      e
13    t8     lanny wadkins  united states     70      e
