     res      record              opponent                            method                              event  round   time
0   loss  23 - 4 - 1            matt grice                  decision (split)                             ufc 77      3   5:00
1   loss  23 - 3 - 1        thiago tavares       submission (triangle choke)  ufc fight night : stout vs fisher      2   2:49
2    win  23 - 2 - 1           sam jackson                submission (choke)       ec 74 - extreme challenge 74  n / a  n / a
3   loss  22 - 2 - 1           shinya aoki       submission (triangle choke)                   pride bushido 12      1   1:58
4    win  22 - 1 - 1               jin eoh             tko (corner stoppage)                   pride bushido 11      1   4:25
5   loss  21 - 1 - 1         shonie carter                     tko (punches)     kotc - redemption on the river      1   1:18
6    win  21 - 0 - 1           kyle jensen       submission (triangle choke)       ec 64 - extreme challenge 64      1   1:15
7    win  20 - 0 - 1      keith wisniewski              decision (unanimous)           xkk - xtreme kage kombat      3   5:00
8    win  19 - 0 - 1            gideon ray              decision (unanimous)               ihc 7 - the crucible      3   5:00
9    win  18 - 0 - 1       marcel perigold               submission (armbar)       ec 53 - extreme challenge 53      1   1:08
10   win  17 - 0 - 1      michael johnston  submission (north - south choke)                     ef 1 - genesis      1   1:35
11   win  16 - 0 - 1          john alessio                  decision (split)                ucc 12 - adrenaline      3   5:00
12   win  15 - 0 - 1       chad w saunders                  tko (retirement)                     wfa 3: level 3      2   5:00
13   win  14 - 0 - 1         ivan menjivar     submission (rear naked choke)           ucc 8 - fast and furious      1   3:33
14   win  13 - 0 - 1           james meals                     tko (punches)       ec 46 - extreme challenge 46      1   1:44
15  draw  12 - 0 - 1         antonio mckee                              draw          world fighting alliance 1      3   5:00
16   win      12 - 0   jeremiah billington   submission (arm triangle choke)            ic 3 - iowa challenge 3      2   0:45
17   win      11 - 0          cedric marks               submission (elbows)       ec 42 - extreme challenge 42      1   3:03
18   win      10 - 0            john cronk                     tko (punches)            ic 2 - iowa challenge 2      2   3:11
19   win       9 - 0          eddie miller     submission (guillotine choke)               hooknshoot - masters      1   0:19
20   win       8 - 0           jake hudson              submission (punches)      gladiators 14 - gladiators 14  n / a  n / a
21   win       7 - 0        jeremy bennett     submission (guillotine choke)      superbrawl - futurebrawl 2000      1   3:23
22   win       6 - 0  brian anthony fulton   submission (head and arm choke)       ec 36 - extreme challenge 36      1   6:35
23   win       5 - 0         bobby clayton                             n / a        gladiators 8 - gladiators 8  n / a  n / a
24   win       4 - 0          don hamilton                             n / a        gladiators 8 - gladiators 8  n / a  n / a
25   win       3 - 0          don hamilton                             n / a        gladiators 7 - gladiators 7  n / a  n / a
26   win       2 - 0         bobby clayton                             n / a        gladiators 7 - gladiators 7  n / a  n / a
27   win       1 - 0          steve berger                  decision (split)       ec 32 - extreme challenge 32      1  15:00
