   rank                  state  population  area (km square)  density
0     -       federal district     8720700              1499   5817.7
1     1           mexico state    14349700             21461    668.6
2     2                morelos     1637400              4941    331.4
3     3               tlaxcala     1034600              3914    264.3
4     4         aguascalientes     1023800              5589    183.2
5     5                 puebla     5480200             33919    161.6
6     6             guanajuato     4919000             30589    160.8
7     7              querétaro     1558500             11769    132.4
8     8                hidalgo     2330900             20987    111.1
9     9                 colima      581100              5455    106.5
10   10               veracruz     6980900             72815     95.9
11   11                jalisco     6540700             80137     81.6
12   12                tabasco     1994700             24661     80.9
13   13              michoacán     4066900             59864     67.9
14   14             nuevo león     4041300             64555     62.6
15   15                chiapas     4329700             73887     58.6
16    -  united mexican states   102797200           1967138     52.3
17   16               guerrero     3196100             63749     50.1
18   17                sinaloa     2574300             58092     44.3
19   18                yucatán     1714100             39340     43.6
20   19        baja california     2846500             70113     40.6
21   20                 oaxaca     3651100             95364     38.3
22   21        san luis potosí     2370400             62848     37.7
23   22             tamaulipas     2927300             79829     36.7
24   23                nayarit      942200             27621     34.1
25   24           quintana roo     1023500             50350     20.3
26   25              zacatecas     1381900             75040     18.4
27   26               coahuila     2395100            151571     15.8
28   27               campeche      720900             51833     13.9
29   28              chihuahua     3274700            247087     13.3
30   29                 sonora     2262700            184934     12.2
31   30                durango     1449100            119648     12.1
32   31    baja california sur      477300             73677      6.5
