                tournament                    2007                    2008                    2009                    2010                    2011                    2012
0   grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments
1          australian open                      q1                       a                      1r                       a                      1r                      2r
2              french open                      q3                      2r                      2r                      2r                      2r                      2r
3                wimbledon                      q2                       a                      1r                       a                      1r                      1r
4                  us open                       a                      1r                       a                       a                      1r                      2r
5               win - loss                   0 - 0                   1 - 2                   1 - 3                   1 - 1                   1 - 4                   3 - 4
6       atp masters series      atp masters series      atp masters series      atp masters series      atp masters series      atp masters series      atp masters series
7     indian wells masters                       a                       a                       a                       a                      1r                      4r
8            miami masters                       a                       a                       a                       a                      3r                      1r
9      monte carlo masters                       a                       a                      q1                       a                       a                      2r
10          madrid masters                       a                      q1                      q2                       a                      1r                      1r
11            rome masters                       a                       a                       a                       a                      q1                      1r
12          canada masters                       a                       a                       a                       a                      1r                      2r
13      cincinnati masters                       a                       a                       a                       a                      q1                      3r
14        shanghai masters                     nms                     nms                     nms                       a                      1r                      1r
15           paris masters                       a                       a                       a                       a                       a                      1r
16              win - loss                   0 - 0                   0 - 0                   0 - 0                   0 - 0                   2 - 5                   7 - 9
17       career statistics       career statistics       career statistics       career statistics       career statistics       career statistics       career statistics
18         titles - finals                   0 - 0                   0 - 0                   0 - 0                   0 - 1                   1 - 2                   1 - 0
19        year end ranking                     146                     101                     160                      71                      46                      42
