    rank          nation  gold  silver  bronze  total
0      1          russia     9       2       6     17
1      2          sweden     3       1       1      5
2      3          france     2       1       1      4
3      4         ireland     2       0       0      2
4      5           spain     1       6       5     12
5      6   great britain     1       4       1      6
6      7          poland     1       3       2      6
7      8         ukraine     1       2       3      6
8      9         romania     1       2       1      4
9     10         belarus     1       1       0      2
10    11         germany     1       0       5      6
11    12        bulgaria     1       0       1      2
12  13 =         belgium     1       0       0      1
13  13 =  czech republic     1       0       0      1
14  13 =         denmark     1       0       0      1
15  13 =        portugal     1       0       0      1
16  17 =         austria     0       2       1      3
17  17 =          greece     0       2       1      3
18    19     netherlands     0       1       1      2
19    20           italy     0       1       0      1
