          country  preliminary  interview  swimsuit  evening gown  average
0           texas        9.577      9.654     9.787         9.760    9.733
1         florida        8.621      9.688     9.241         9.450    9.459
2         arizona        8.895      9.273     9.400         9.538    9.403
3        missouri        8.618      9.372     9.433         9.516    9.440
4         georgia        8.802      9.366     9.366         9.464    9.398
5     mississippi        8.984      9.400     9.283         9.226    9.303
6      new mexico        8.847      8.933     8.988         9.133    9.018
7        illinois        8.577      8.822     8.722         8.911    8.818
8          nevada        8.577      8.511     9.033         8.777    8.774
9   west virginia        8.666      8.544     8.698         8.988    8.743
10       virginia        8.685      8.611     8.600         8.811    8.674
