    round                            name       circuit          date     winning driver    winning car
0       1          international gold cup   oulton park       april 4        guy edwards      arrows a1
1       2             evening news trophy  brands hatch       april 7      desirã wilson       wolf wr4
2       3            international trophy   silverstone      april 20     eliseo salazar  williams fw07
3       4                      sun trophy  mallory park         may 5  emilio de villota  williams fw07
4       5             rivet supply trophy      thruxton        may 26     eliseo salazar  williams fw07
5       6        monza lottery grand prix         monza       june 29  emilio de villota  williams fw07
6       7                      atv trophy  mallory park       july 27  emilio de villota  williams fw07
7       8                anglia tv trophy    snetterton     august 10        guy edwards      arrows a1
8       9           pace petroleum trophy  brands hatch     august 25  emilio de villota  williams fw07
9      10            radio victory trophy      thruxton   september 7     eliseo salazar  williams fw07
10     11  daily express formula 1 trophy   oulton park  september 20       jim crawford    chevron b45
11     12                   pentax trophy   silverstone     october 5  emilio de villota  williams fw07
