    round  pick  overall            name          position        college
0       1     8        8   bob whitfield  offensive tackle       stanford
1       1    19       19      tony smith      running back  southern miss
2       2    23       51     chuck smith     defensive end      tennessee
3       3    17       73  howard dinkins        linebacker  florida state
4       4    20      104   frankie smith        cornerback         baylor
5       6    18      158       terry ray    defensive back       oklahoma
6       7    14      182       tim paulk        linebacker        florida
7       8    20      216   derrick moore      running back     troy state
8       8    21      217   reggie dwight         tight end     troy state
9       9    19      243      keith alex  offensive tackle      texas a&m
10     10    18      270    darryl hardy        linebacker      tennessee
11     11    17      297     robin jones     defensive end         baylor
