    election year             assembly                 winning party / coalition                           chief minister                           speaker
0            1952       first assembly                  indian national congress              c rajagopalachari k kamaraj       j shivashanmugam pillai (2)
1            1957      second assembly                  indian national congress                            k kamaraj (2)      n gopala menon u krishna rao
2            1962       third assembly                  indian national congress           k kamaraj (3) m bakthavatsalam                   s chellapandian
3            1967      fourth assembly                 dravida munnetra kazhagam               cn annadurai m karunanidhi  s p adithanar pulavar k govindan
4            1977       sixth assembly            anna dravida munnetra kazhagam                          mg ramachandran                         munu adhi
5            1980     seventh assembly            anna dravida munnetra kazhagam                      mg ramachandran (2)           munu adhi (2) k rajaram
6            1984      eighth assembly            anna dravida munnetra kazhagam  mg ramachandran (3) janaki ramachandran         k rajaram (2) p h pandian
7            1989       ninth assembly                 dravida munnetra kazhagam                        m karunanidhi (3)                  m tamilkudimagan
8            1991       tenth assembly  all india anna dravida munnetra kazhagam                           j jayalalithaa                         r muthiah
9            1996    eleventh assembly                 dravida munnetra kazhagam                        m karunanidhi (4)             p t r palanivel rajan
10           2001     twelfth assembly  all india anna dravida munnetra kazhagam       o panneerselvam j jayalalithaa (2)         k kalimuthu a arunachalam
11           2006  thirteenth assembly         dravida munnetra kazhagam ( dpa )                        m karunanidhi (5)                     r avudaiappan
