                                            university   nick  university status  founded    location             division        specialization           website
0                                  university of dhaka     du               1921     1921       dhaka       dhaka division               general      univdhakaedu
1    chittagong university of engineering & technology   cuet               2003     1968  chittagong  chittagong division           engineering          cuetacbd
2      rajshahi university of engineering & technology   ruet               2002     1964    rajshahi    rajshahi division           engineering          ruetacbd
3        khulna university of engineering & technology   kuet               2003     1969      khulna      khulna division           engineering          kuetacbd
4                    bangladesh university of textiles  butex               2010     1978       dhaka       dhaka division   textile engineering        butexedubd
5           noakhali science and technology university   nstu               2006     2006    noakhali  chittagong division  science & technology         nstuedubd
6            sher - e - bangla agricultural university    sau               2001     1938       dhaka       dhaka division  agricultural science          sauedubd
7               bangladesh university of professionals    bup               2008     2008       dhaka       dhaka division               general          bupedubd
8                                   barisal university     bu               2011     2011     barisal     barisal division               general  barisalunivedubd
9                   bangladesh agricultural university    bau               1961     1961  mymensingh       dhaka division  agricultural science          bauedubd
10                            jahangirnagar university     ju               1970     1970       savar       dhaka division               general          junivedu
11         bangabandhu sheikh mujib medical university  bsmmu               1998     1965       dhaka       dhaka division               medical        bsmmuedubd
12  mawlana bhashani science and technology university  mbstu               1999     1999     tangail       dhaka division  science & technology         mbstuacbd
13        dhaka university of engineering & technology   duet               2003     1980     gazipur       dhaka division           engineering          duetacbd
14                                jagannath university    jnu               2005     1858       dhaka       dhaka division               general           jnuacbd
15            jatiya kabi kazi nazrul islam university    knu               2005     2005     trishal       dhaka division               general       jkkniuedubd
16                             begum rokeya university    bru               2008     2008     rangpur     rangpur division               general          bruracbd
17                                   khulna university     ku               1991     1991      khulna      khulna division               general            kuacbd
18                                  islamic university     iu               1980     1980     kushtia      khulna division                 islam           iubdnet
19             jessore science & technology university   jstu               2008     2008     jessore      khulna division  science & technology         jstuedubd
20          pabna university of science and technology   pust               2008     2008       pabna    rajshahi division  science & technology          pustacbd
21        patuakhali science and technology university   pstu               2002     2002  patuakhali     barisal division  science & technology          pstuacbd
22                                 rajshahi university     ru               1953     1953    rajshahi    rajshahi division               general            ruacbd
23                                  comilla university     uc               2006     2006     comilla  chittagong division               general           couacbd
24      shahjalal university of science and technology   sust               1986     1986      sylhet      sylhet division  science & technology           sustedu
25                      sylhet agricultural university    sau               2006     1995      sylhet      sylhet division  agricultural science           sauacbd
