                     tournament                         2006                         2007                         2008                         2009                         2010                         2011                         2012
0        grand slam tournaments       grand slam tournaments       grand slam tournaments       grand slam tournaments       grand slam tournaments       grand slam tournaments       grand slam tournaments       grand slam tournaments
1               australian open                            a                            a                           2r                           2r                           1r                           q2                           q3
2                   french open                            a                           2r                           3r                           2r                           1r                           2r                           1r
3                     wimbledon                            a                           2r                           3r                           2r                            a                           3r                           1r
4                       us open                            a                           2r                           1r                           1r                            a                            a                            a
5                    win - loss                        0 - 0                        3 - 3                        5 - 4                        3 - 4                        0 - 2                        3 - 2                        0 - 2
6   atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000
7          indian wells masters                            a                            a                           1r                           1r                            a                            a                            a
8                 miami masters                            a                           3r                           3r                           1r                            a                           q2                           1r
9           monte carlo masters                            a                            a                           2r                           3r                           1r                           q2                           1r
10                 rome masters                           1r                           1r                           3r                           1r                           2r                           1r                           q1
11               madrid masters                            a                            a                           2r                           2r                            a                            a                            a
12               canada masters                            a                            a                           1r                            a                            a                            a                            a
13           cincinnati masters                            a                            a                           2r                           1r                            a                            a                            a
14             shanghai masters                          nms                          nms                          nms                            a                            a                            a                            a
15                paris masters                            a                            a                           2r                            a                            a                            a                            a
16              hamburg masters                            a                           1r                           2r           not masters series           not masters series           not masters series           not masters series
17                   win - loss                        0 - 1                        2 - 3                        9 - 9                        3 - 6                        1 - 2                        0 - 1                        0 - 2
18            career statistics            career statistics            career statistics            career statistics            career statistics            career statistics            career statistics            career statistics
19              titles - finals                        0 - 0                        0 - 0                        0 - 1                        0 - 0                        0 - 0                        0 - 0                        0 - 0
20           year - end ranking                          127                           67                           41                           93                          107                          134                           84
