   round  pick  overall               name          position                  college
0      1    13       13      marcus stroud  defensive tackle                  georgia
1      2    12       43   maurice williams  offensive tackle                 michigan
2      3    11       73  eric westmoreland        linebacker                tennessee
3      3    32       94         james boyd    defensive back               penn state
4      5    11      142    david leaverton            punter                tennessee
5      6     7      170          chad ward             guard               washington
6      7    13      213     anthony denman        linebacker               notre dame
7      7    33      233      marlon mccree            safety                 kentucky
8      7    35      235   richmond flowers     wide receiver  tennessee - chattanooga
9      7    41      241     randy chevrier  defensive tackle                   mcgill
