     rank          nation  gold  silver  bronze  total
0       1         hungary     8       4       4     16
1       2         germany     5       3       3     11
2       3          poland     2       5       2      9
3       4          russia     2       2       3      7
4       5           spain     1       2       3      6
5       6         romania     1       2       2      5
6       7         ukraine     1       1       3      5
7       8            cuba     1       0       2      3
8       9       australia     0       2       1      3
9      10           italy     2       0       0      2
10     11       lithuania     1       1       0      2
11     12  czech republic     0       2       0      2
12     13       argentina     0       1       1      2
13     14      uzbekistan     0       1       1      2
14     15          canada     1       0       0      1
15     16          france     1       0       0      1
16     17          norway     1       0       0      1
17     18         belarus     0       1       0      1
18     19        slovakia     0       0       1      1
19     20          sweden     0       0       1      1
20  total           total    27      27      27     81
