    year   network                       title                  notes          language
0   2007       sbs                   star king                  guest            korean
1   2008      cctv                        勇往直前                  guest  mandarin chinese
2   2009       ctv         variety big brother                  guest  mandarin chinese
3   2009       hbs                  happy camp                  guest  mandarin chinese
4   2009       sbs                   star king                  guest            korean
5   2011       sbs                strong heart                  guest            korean
6   2011      cctv                       开心歌迷汇                  guest  mandarin chinese
7   2011       ctv         variety big brother                  guest  mandarin chinese
8   2013  olive tv  masterchef korea celebrity  celebrity participant            korean
9   2013       hbs                  happy camp                  guest  mandarin chinese
10  2013      kbs2              happy together                  guest            korean
11  2013       kbs             hello counselor                  guest            korean
12  2013       kbs                   mamma mia                  guest            korean
