    rank        nation  gold  silver  bronze  total
0      1  soviet union     3       1       2      6
1      2        turkey     2       2       2      6
2      3          iran     2       0       0      2
3      4      bulgaria     1       3       0      4
4      5       finland     0       1       0      1
5      5       hungary     0       1       0      1
6      7      pakistan     0       0       2      2
7      8  east germany     0       0       1      1
8      8        france     0       0       1      1
9  total         total     8       8       8     24
