                    team             manager       home city                         stadium  capacity
0                cibalia           davor čop        vinkovci             stadion hnk cibalia      9920
1                čakovec         rajko magić         čakovec             stadion src mladost      8000
2          dinamo zagreb    ilija lončarević          zagreb                stadion maksimir     37168
3           hajduk split        nenad gračan           split       gradski stadion u poljudu     35000
4   hrvatski dragovoljac        luka bonačić          zagreb      stadion nšc stjepan spajić      5000
5           kamen ingrad      tomislav radić          velika           stadion kamen ingrada      8000
6               marsonia        milo nižetić  slavonski brod         gradski stadion uz savu     10000
7                 osijek         vlado bilić          osijek             stadion gradski vrt     19500
8                pomorac  predrag stilinović        kostrena                 stadion žuknica      3000
9                 rijeka      ivan katalinić          rijeka             stadion na kantridi     10275
10         slaven belupo        dražen besek      koprivnica    gradski stadion u koprivnici      4000
11               šibenik    vjekoslav lokica         šibenik               stadion šubićevac      8000
12         tšk topolovac       ivica vidović       topolovac           gradski stadion sisak      8000
13               varteks       branko janžek        varaždin              stadion nk varteks     10800
14                 zadar        stanko mršić           zadar                 stadion stanovi      5860
15             nk zagreb     zlatko kranjčar          zagreb  stadion u kranjčevićevoj ulici      8850
