    year                            artist                                           title               format               type
0   2002                  misfits / balzac                       day the earth caught fire                   cd             single
1   2003                           misfits                                    project 1950             cd / dvd       studio album
2   2003                            balzac                             beyond the darkness             cd / dvd  compilation album
3   2005     misfits meet the nutley brass                               fiend club lounge                   cd       studio album
4   2005                            balzac              out of the grave and into the dark             cd / dvd  compilation album
5   2006                     osaka popstar  osaka popstar and the american legends of punk             cd / dvd       studio album
6   2006                           misfits                        psycho in the wax museum        promotional 7             single
7   2007                         juicehead                         the devil made me do it                   cd       studio album
8   2007                            balzac                  deep blue : chaos from darkism             cd / dvd       studio album
9   2007                            balzac                               deep blue / alone  shaped picture disc             single
10  2007                     osaka popstar                                 shaolin monkeys  shaped picture disc             single
11  2008                     osaka popstar                       rock'em o - sock'em live!                   cd         live album
12  2009                           misfits                                land of the dead                   12             single
13  2010                         juicehead                         rotting from the inside                    7             single
14  2010                            balzac                             the birth of hatred             cd / dvd  compilation album
15  2011                         juicehead                      how to sail a sinking ship                   cd       studio album
16  2011                           misfits                            twilight of the dead                   12             single
17  2011                           misfits                               the devil 's rain                   cd       studio album
18  2012  klaus beyer covers osaka popstar                            die shaolin affen ep                    7                 ep
19  2012         juicehead x osaka popstar                                    waiting room                    7             single
20  2012                            balzac                                         paradox                   12                 ep
21  2013                           misfits                                     dead alive!              cd , lp         live album
22  2013                     osaka popstar                                      super hero                   12             single
