              title  time              writer (s)            performer (s)                producer (s)                    recorded at
0             intro  2:01    violent j eric davie                violent j  violent j eric davie akuma  the cabin in the woods studio
1           wake up  3:50  violent j mike e clark                violent j                mike e clark               funhouse studios
2        fight club  3:27  violent j mike e clark    violent j necro esham                mike e clark               funhouse studios
3        when i rap  2:05    violent j eric davie                violent j  violent j eric davie akuma  the cabin in the woods studio
4        candy land  4:00         violent j esham          violent j esham      violent j mike e clark               funhouse studios
5   get out the way  3:03  violent j mike e clark                violent j                mike e clark  the cabin in the woods studio
6       14 year old  4:03  violent j mike e clark                violent j                mike e clark  the cabin in the woods studio
7         i get mad  3:32  violent j mike e clark                violent j                mike e clark  the cabin in the woods studio
8            faster  4:22  violent j mike e clark                violent j                mike e clark  the cabin in the woods studio
9          jealousy  3:25  violent j mike e clark      violent j razor ray                mike e clark               funhouse studios
10    home invasion  4:03  violent j mike e clark  violent j shaggy 2 dope                mike e clark  the cabin in the woods studio
11       4 the hoes  2:50    violent j eric davie                violent j  violent j eric davie akuma  the cabin in the woods studio
12       pyromaniac  3:37  violent j mike e clark                violent j                mike e clark  the cabin in the woods studio
13        let it go  3:16  violent j mike e clark                violent j                mike e clark  the cabin in the woods studio
14   freeway killer  5:16  violent j mike e clark                violent j                mike e clark  the cabin in the woods studio
