    pick            player    position             nationality               nhl team            college / junior / club team
0    203  garth hildebrand   left wing                  canada    pittsburgh penguins                 calgary wranglers (whl)
1    204       allan acton   left wing                  canada       hartford whalers                 saskatoon blazers (whl)
2    205      alan stewart   left wing                  canada      new jersey devils             prince albert raiders (whl)
3    206        jeff frank  right wing  canada / united states      detroit red wings                       regina pats (whl)
4    207         jan blaha  right wing          czechoslovakia      los angeles kings       ceske budejovice (czechoslovakia)
5    208       mike tomlak      centre                  canada    toronto maple leafs                   cornwall royals (ohl)
6    209      eric cormier   left wing                  canada          winnipeg jets  st george 's school (canadian hs - qc)
7    210      steve kayser     defence                  canada      vancouver canucks            university of vermont (ecac)
8    211    jaroslav benak     defence          czechoslovakia         calgary flames                jihlava (czechoslovakia)
9    212     oldrich valek  right wing          czechoslovakia  minnesota north stars                jihlava (czechoslovakia)
10   213      bryan walker     defence                  canada       new york rangers             portland winter halks (whl)
11   214         uwe krupp     defence            west germany         buffalo sabres                  cologne (west germany)
12   215     alain raymond  goaltender                  canada    washington capitals       trois - rivieres draveurs (qmjhl)
13   216       anders huss      centre                  sweden    washington capitals                          gavle (sweden)
14   217     john bjorkman      centre           united states     new york islanders         warroad high school (ushs - mn)
15   218      jeff perpich     defence           united states     montreal canadiens         hibbing high school (ushs - mn)
16   219       steve pepin      centre                  canada    chicago black hawks                 st jean castors (qmjhl)
17   220        john miner     defence                  canada        edmonton oilers                       regina pats (whl)
18   221     brian jopling  goaltender           united states    philadelphia flyers       rennssaeler polytechnic institute
19   222       norm foster  goaltender                  canada          boston bruins               penticton knights (bcjhl)
