                                         school    location (s)                     control                                  type  enrollment (spring 2012)  founded                           accreditation
0                             augustana college     sioux falls  private not - for - profit                 baccalaureate college                      1871     1860               nca , ccne , nasm , ncate
1                  black hills state university       spearfish                      public                  master 's university                      4416     1883                      nca , nasm , ncate
2                 colorado technical university     sioux falls        private for - profit                  master 's university                       899     1965                                     nca
3                       dakota state university         madison                      public                  master 's university                      3075     1881                             nca , ncate
4                    dakota wesleyan university        mitchell  private not - for - profit                 baccalaureate college                       776     1885                             nca , nlnac
5                globe university - sioux falls     sioux falls        private for - profit                  associate 's college                       262     1885                           acics , abhes
6                      kilian community college     sioux falls  private not - for - profit                  associate 's college                       336     1977                                     nca
7                 lake area technical institute       watertown                      public                  associate 's college                      1471     1965         nca , ada , aota , apta , nlnac
8                  mitchell technical institute        mitchell                      public                  associate 's college                      1055     1968                            nca , jrcert
9                           mount marty college         yankton  private not - for - profit                 baccalaureate college                      1242     1936               nca , ccne , aana , nlnac
10    national american university - rapid city      rapid city        private for - profit                  master 's university                      2384     1941                              nca , ccne
11   national american university - sioux falls     sioux falls        private for - profit  baccalaureate / associate 's college                       910     1941                                     nca
12                    northern state university        aberdeen                      public                 baccalaureate college                      3205     1901                      nca , nasm , ncate
13                        oglala lakota college            kyle                      public                        tribal college                      1685     1971                                     nca
14                         presentation college        aberdeen  private not - for - profit                 baccalaureate college                       718     1922                    nca , jrcert , nlnac
15                      sinte gleska university         mission  private not - for - profit                        tribal college                       835     1970                                     nca
16                         sioux falls seminary     sioux falls  private not - for - profit           special - focus institution                       141     1858                             nca , atsca
17                    sisseton wahpeton college  agency village                      public                        tribal college                       264     1979                                     nca
18  south dakota school of mines and technology      rapid city                      public           special - focus institution                      2311     1885                                     nca
19                south dakota state university       brookings                      public                   research university                     12725     1881  nca , acpe , and , ccne , nasm , ncate
20                southeast technical institute     sioux falls                      public                  associate 's college                      2507     1968                                     nca
21                    university of sioux falls     sioux falls  private not - for - profit                 baccalaureate college                      1488     1883                      nca , ccne , ncate
