                              team  no        driver (s)                                  sponsor (s)    test drivers
0   newman / haas / lanigan racing   1     justin wilson                                  mcdonald 's           n / a
1   newman / haas / lanigan racing   2      graham rahal                                  mcdonald 's           n / a
2         forsythe / pettit racing   3        paul tracy                                       indeck           n / a
3         forsythe / pettit racing   7   franck montagny                                       indeck           n / a
4                 minardi team usa   4          e j viso                                        pdvsa           n / a
5                 minardi team usa  14   robert doornbos  muermans group / jumbo supermarkets / ozjet           n / a
6                   team australia   5        will power                             aussie vineyards           n / a
7                   team australia  15     matt halliday                             aussie vineyards           n / a
8              rocketsports racing   8  enrique bernoldi                                      sangari           n / a
9                dale coyne racing  11   bruno junqueira                                          tba           n / a
10               dale coyne racing  19      mario moraes                sonny 's real pit bar - b - q           n / a
11            kv racing technology  21     alex tagliani                                          tba           n / a
12            kv racing technology  22      oriol servià                                          tba           n / a
13       pacific coast motorsports  29        alex figge                        imperial capital bank  david martínez
14       pacific coast motorsports  96   mario domínguez                    mexico city tourism board  david martínez
15                 conquest racing  24     franck perera                                         ares           n / a
16                 conquest racing  34   nelson philippe           juniper property development group           n / a
