                           tournament                               2007                               2008                               2009                               2010                               2011
0              grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments
1                     australian open                                  a                                 1r                                 1r                                 1r                                 1r
2                         french open                                  a                                 3r                                 3r                                 2r                                 2r
3                           wimbledon                                 2r                                 1r                                 2r                                 1r                                 1r
4                             us open                                 2r                                 2r                                 1r                                 1r                                 1r
5                          win - loss                              2 - 2                              3 - 4                              3 - 4                              1 - 4                              1 - 4
6                       olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games
7                     summer olympics                                 nh                                 1r                           not held                           not held                           not held
8             year - end championship            year - end championship            year - end championship            year - end championship            year - end championship            year - end championship
9              wta tour championships                                  a                                  a                                  a                                  a                                  a
10  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments
11                       indian wells                                  a                                  a                                 2r                                 2r                                 1r
12                              miami                                  a                                 1r                                 1r                                 1r                                 1r
13                             madrid                           not held                           not held                                 lq                                 2r                                  a
14                            beijing                                 1r                                 lq                                 1r                                 2r                                 lq
15          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments
16                              dubai                          not tieri                          not tieri                                 1r                                 3r                                  a
17                               rome                                  a                                 2r                                  a                                 1r                                 lq
18                         cincinnati                                 qf                                  a                                 2r                                 2r                                 lq
19                 montréal / toronto                                  a                                  a                                  a                                 1r                                 lq
20                              tokyo                                  a                                  a                                  a                                 2r                                  a
21                   year end ranking                                 49                                 49                                 52                                 74                                114
