                           tournament                               2006                               2007                               2008                               2009                               2010                               2011                               2012
0              grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments
1                     australian open                                  a                                  a                                  a                                 2r                                 3r                                 2r                                 sf
2                         french open                                  a                                  a                                  a                                 1r                                 3r                                  w                                 sf
3                           wimbledon                                  a                                 2r                                 1r                                 1r                                 2r                                 1r                                  f
4                             us open                                  a                                  a                                  a                                 2r                                 1r                                 qf                                  f
5                          win - loss                              0 - 0                              1 - 1                              0 - 1                              2 - 4                              5 - 4                             10 - 3                             18 - 4
6                       olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games
7                     summer olympics                           not held                           not held                                  a                           not held                           not held                           not held                                  s
8             year - end championship            year - end championship            year - end championship            year - end championship            year - end championship            year - end championship            year - end championship            year - end championship
9                  tour championships                                  a                                  a                                  a                                  a                                  a                                  a                                  f
10  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments
11                       indian wells                                  a                                  a                                  a                                  a                                 2r                                 1r                                 sf
12                              miami                                  a                                  a                                  a                                  a                                 1r                                 1r                                 1r
13                             madrid                           not held                           not held                           not held                                  a                                  a                                  a                                 2r
14                            beijing                            tier ii                            tier ii                            tier ii                                  a                                  a                                  a                                  a
15          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments
16                              dubai                                 nh                            tier ii                            tier ii                                  a                                  a                                  a                            premier
17                               doha                            tier ii                            tier ii                                  a                           not held                           not held                                  p                                  a
18                               rome                                  a                                  a                                  a                                  a                                 2r                                  a                                  a
19                 montréal / toronto                                  a                                  a                                  a                                  a                                 2r                                  a                                  a
20                         cincinnati                           tier iii                           tier iii                           tier iii                                  a                                  a                                 2r                                  w
21                              tokyo                                  a                                  a                                  a                                  a                                  a                                  a                                  a
22                  career statistics                               2006                               2007                               2008                               2009                               2010                               2011                               2012
23                  tournament played                                  1                                  3                                  7                                 10                                 14                                 19                                 17
24                             titles                                  0                                  1                                  2                                  1                                  1                                  3                                  4
25                             finals                                  0                                  1                                  2                                  1                                  1                                  5                                  9
26                 overall win - loss                              1 - 1                              5 - 2                             12 - 5                             14 - 9                            17 - 13                            30 - 16                            48 - 12
27                 year - end ranking                                236                                 99                                 71                                 59                                 45                                 14                                  3
