               week 1                   week 2               week 3                    week 4                     week 5                week 6                  week 7                week 8                      week 9         week 10 final
0      no nominations                alexandra         not eligible         alexandra , maeva               not eligible  isabelle , alexandra            not eligible  alexandra , samantha              no nominations                winner
1      no nominations                    alice         not eligible          isabelle , alice                  nominated           secret room                  exempt    marilyn , samantha              no nominations             runner up
2      no nominations             not eligible                cyril              not eligible        john - david hayder           secret room                matthias                exempt              no nominations           third place
3      no nominations             not eligible             matthias              not eligible  laurent (x2) laurent (x2)          not eligible                matthias          not eligible              no nominations          fourth place
4      no nominations             not eligible                cyril              not eligible        john - david hayder          not eligible                matthias          not eligible              no nominations      evicted (day 64)
5      no nominations                  marilyn               exempt          isabelle , alice               not eligible    isabelle , marilyn            not eligible    marilyn , samantha              no nominations      evicted (day 64)
6      no nominations             not eligible                cyril              not eligible              hayder hayder          not eligible                matthias          not eligible            evicted (day 57)      evicted (day 57)
7      no nominations                alexandra         not eligible         alexandra , maeva               not eligible  isabelle , alexandra               nominated      evicted (day 50)            evicted (day 50)      evicted (day 50)
8      no nominations                   exempt                cyril              not eligible              hayder hayder          not eligible        evicted (day 43)      evicted (day 43)            evicted (day 43)      evicted (day 43)
9      no nominations                alexandra         not eligible         alexandra , maeva               not eligible  isabelle , alexandra        ejected (day 43)      ejected (day 43)            ejected (day 43)      ejected (day 43)
10     no nominations                    alice         not eligible      alexandra , isabelle               not eligible      evicted (day 36)        evicted (day 36)      evicted (day 36)            evicted (day 36)      evicted (day 36)
11          nominated             not eligible             matthias              not eligible           evicted (day 29)      evicted (day 29)        evicted (day 29)      evicted (day 29)            evicted (day 29)      evicted (day 29)
12       not in house                 nathalie            nominated          evicted (day 22)           evicted (day 22)      evicted (day 22)        evicted (day 22)      evicted (day 22)            evicted (day 22)      evicted (day 22)
13     no nominations             not eligible                cyril           walked (day 21)            walked (day 21)       walked (day 21)         walked (day 21)       walked (day 21)             walked (day 21)       walked (day 21)
14     no nominations                nominated     evicted (day 15)          evicted (day 15)           evicted (day 15)      evicted (day 15)        evicted (day 15)      evicted (day 15)            evicted (day 15)      evicted (day 15)
15    ejected (day 3)          ejected (day 3)      ejected (day 3)           ejected (day 3)            ejected (day 3)       ejected (day 3)         ejected (day 3)       ejected (day 3)             ejected (day 3)       ejected (day 3)
16              maeva       alexandra caroline        cyril nicolas  alexandra isabelle maeva               cyril hayder    alexandra isabelle        matthias quentin      marilyn samantha              all housemates        all housemates
17         see note 1      see notes 2 , 3 , 4  see notes 4 , 5 , 6                see note 7  see notes 8 , 9 , 10 , 11     see notes 12 , 13  see notes 14 , 15 , 16     see notes 17 , 18                 see note 19           see note 19
18               none                     none             nathalie                      none                       none                  none                    none                  none                        none                  none
19     marie - france                     none                 none                      none                       none               laurent                    none                  none                        none                  none
20  maeva 85% to save  caroline 37.67% to save  nicolas 31% to save       maeva 24.1% to save       hayder 37.8% to save  isabelle 28% to save   quentin 33.2% to save  samantha 34% to save  john - david 10.5% to save  alexandra 11% to win
21  maeva 85% to save  caroline 37.67% to save  nicolas 31% to save       maeva 24.1% to save       hayder 37.8% to save  isabelle 28% to save   quentin 33.2% to save  samantha 34% to save       marilyn 14.9% to save      cyril 32% to win
