    year                       team                     co - drivers    class  laps   pos class pos
0   1999          panoz motorsports   johnny o'connell max angelelli      lmp   323  11th       9th
1   2000          panoz motorsports     david brabham mario andretti   lmp900   315  15th       8th
2   2001          panoz motorsports     david brabham franck lagorce   lmp900    85   dnf       dnf
3   2002         panoz motor sports        david brabham bryan herta   lmp900    90   dnf       dnf
4   2003  audi sport japan team goh           seiji ara marco werner   lmp900   370   4th       2nd
5   2004            corvette racing     oliver gavin olivier beretta      gts   345   6th       1st
6   2005            corvette racing     oliver gavin olivier beretta      gt1   349   5th       1st
7   2006            corvette racing     oliver gavin olivier beretta      gt1   355   4th       1st
8   2007            corvette racing     johnny o'connell ron fellows      gt1   342   6th       2nd
9   2008            corvette racing     johnny o'connell ron fellows      gt1   344  14th       2nd
10  2009            corvette racing  johnny o'connell antonio garcía      gt1   342  15th       1st
11  2010            corvette racing  johnny o'connell antonio garcía      gt2   225   dnf       dnf
12  2011            corvette racing   oliver gavin richard westbrook  gte pro   211   dnf       dnf
13  2012            corvette racing     antonio garcía jordan taylor  gte pro   326  23rd       5th
