                  club  total points  bonus points  match points  games  drawn  lost  points for  points against   diff
0                 club  total points  bonus points  match points  games  drawn  lost  points for  points against   diff
1               toulon           106            16            90     30      1     7         873             495  + 378
2         racing métro            99            13            86     30      1     8         683             426  + 257
3   mont - de - marsan            89             7            82     30      3     8         582             488   + 94
4                 lyon            83            15            68     30      0    13         604             424  + 180
5          la rochelle            81            13            68     30      0    13         540             443   + 97
6              béziers            81             9            72     30      2    11         556             505   + 51
7                 agen            81             9            72     30      2    11         575             430  + 145
8             grenoble            77             9            68     30      2    12         506             454   + 52
9              oyonnax            73             9            64     30      0    14         612             545   + 67
10                 pau            69            13            56     30      0    16         533             576     43
11            aurillac            66            10            56     30      0    16         609             691     82
12   bordeaux - bègles            61            11            50     30      1    17         468             526     58
13            narbonne            57             7            50     30      1    17         503             626    123
14              tarbes            45            11            34     30      1    21         428             705    277
15             limoges            31             7            24     30      2    23         340             791    451
16             blagnac            27             7            20     30      2    24         469             756    287
