     res       record           opponent                                 method                                                 event  round                                location
0   loss  27 - 19 - 1       brian foster                    submission (armbar)                              capital city cage wars 7      1  springfield , illinois , united states
1    win  27 - 18 - 1        sean salmon                           ko (punches)                                            fight tour      1     rockford , illinois , united states
2   loss  26 - 18 - 1       sean huffman                                     dq               blueblood mma - trials of a gladiator 9  n / a                    iowa , united states
3    win  26 - 17 - 1         evan marks        submission (rear - naked choke)               blueblood mma - trials of a gladiator 6      1                    iowa , united states
4   loss  25 - 17 - 1          ryan ford          submission (guillotine choke)                                                mfc 18      2             edmonton , alberta , canada
5    win  25 - 16 - 1         matt kelly                                    tko            cfc 12 - courage fighting championships 12      1      decatur , illinois , united states
6    win  24 - 16 - 1        aaron smith                   submission (strikes)            cfc 11 - courage fighting championships 11      1    champaign , illinois , united states
7    win  23 - 16 - 1       zeke shiling          submission (rear naked choke)              cfc 9 - courage fighting championships 9      1                 indiana , united states
8   loss  22 - 16 - 1  aaron wetherspoon                    submission (armbar)                                       kotc - sinister      1              california , united states
9   loss  22 - 15 - 1       chris wilson            submission (triangle choke)                                      sf 17 - hot zone      1                  oregon , united states
10   win  22 - 14 - 1      victor moreno                   decision (unanimous)                        kotc - redemption on the river      3                illinois , united states
11   win  21 - 14 - 1        jamie woods                                     ko              cfc 4 - courage fighting championships 4      1                illinois , united states
12  loss  20 - 14 - 1   jake ellenberger            submission (triangle choke)                                    kotc - raging bull      2                    ohio , united states
13   win  20 - 13 - 1        cruz chacon                                    tko                          ec 65 - extreme challenge 65      1                           medina , minn
14   win  19 - 13 - 1        jake jetter                    submission (armbar)                xfo 7 - xtreme fighting organization 7      1                illinois , united states
15  draw  18 - 13 - 1    melvin guillard                                   draw                               rcf - dual in the delta      3             mississippi , united states
16   win      18 - 13         john moore        submission (arm triangle choke)                                       ice 11 - ice xi      1                    ohio , united states
17   win      17 - 13      kevin knabjan                                     ko              cfc 1 - courage fighting championships 1      2                illinois , united states
18  loss      16 - 13         buck greer            submission (triangle choke)                                         pxc 2 - chaos      2                                    guam
19  loss      16 - 12     jorge santiago            submission (triangle choke)             hfc 2 - hardcore fighting championships 2      1           massachusetts , united states
20   win      16 - 11         mac danzig                   decision (unanimous)                          ec 54 - extreme challenge 54      3                illinois , united states
21   win      15 - 11     rafal piszczek                   decision (unanimous)                          ec 54 - extreme challenge 54      3                illinois , united states
22  loss      14 - 11        chris lytle                   decision (unanimous)                              battleground 1 - war cry      3                illinois , united states
23   win      14 - 10    miguel menendez                                    tko             hfc 1 - hardcore fighting championships 1      2           massachusetts , united states
24   win      13 - 10      donald ouimet                   decision (unanimous)                       ucc hawaii - eruption in hawaii      3                  hawaii , united states
25  loss      12 - 10       ryuki ueyama                     tko (towel thrown)                                     deep - 3rd impact      1                           tokyo , japan
26  loss       12 - 9        frank trigg                   submission (strikes)                             world fighting alliance 1      3                  nevada , united states
27  loss       12 - 8       daiju takase            submission (triangle choke)  pancrase - 2001 neo - blood tournament opening round      2                           tokyo , japan
28   win       12 - 7     earnest knight                   submission (strikes)                         gladiators 16 - gladiators 16      1                    iowa , united states
29  loss       11 - 7       jutaro nakao  technical submission (triangle choke)                                  hooknshoot - masters      3                 indiana , united states
30  loss       11 - 6     chatt lavender                    submission (armbar)                       rings usa : battle of champions      2                    iowa , united states
31  loss       11 - 5        fabiano iha                    submission (armbar)                                                ufc 27      1               louisiana , united states
32   win       11 - 4       cedric marks                     submission (choke)                          ec 35 - extreme challenge 35      2                    iowa , united states
33   win       10 - 4         koji oishi                    decision (majority)                                                ufc 25      3                              yoyogi gym
34   win        9 - 4         john lewis                   decision (unanimous)                                wef 8 - goin' platinum      3                 georgia , united states
35   win        8 - 4          john paun                 tko (guillotine choke)                          ec 29 - extreme challenge 29      1               wisconsin , united states
36  loss        7 - 4        matt hughes          submission (rear naked choke)                          ec 29 - extreme challenge 29      2               wisconsin , united states
37  loss        7 - 3         dave menne          submission (guillotine choke)                          ec 29 - extreme challenge 29      2               wisconsin , united states
38   win        7 - 2       cj fernandes                    submission (injury)                          ec 26 - extreme challenge 26      1                illinois , united states
39   win        6 - 2        fabiano iha                              tko (cut)                                                ufc 20      1                 alabama , united states
40   win        5 - 2       james julian                   submission (strikes)                               eb 2 - extreme boxing 2      1                    iowa , united states
41   win        4 - 2      frank caracci                   submission (strikes)                                                ufc 18      1               louisiana , united states
42   win        3 - 2         dave yoder          submission (rear naked choke)                          ec 20 - extreme challenge 20      1                    iowa , united states
43   win        2 - 2       josh stewart                          tko (strikes)                                                ufc 16      1               louisiana , united states
44  loss        1 - 2         dave menne            submission (triangle choke)                            ec 5 - extreme challenge 5      1                    iowa , united states
45  loss        1 - 1         brian dunn          submission (guillotine choke)                            ec 4 - extreme challenge 4      1                    iowa , united states
46   win        1 - 0      shonie carter                           ko (punches)                            ec 3 - extreme challenge 3      1                    iowa , united states
