   year (ceremony) film title used in nomination             original title                     language (s)         result
0      1994 (67th)               before the rain                пред дождот  macedonian , albanian , english        nominee
1      1997 (70th)                   gypsy magic                џипси меџик              macedonian , romany  not nominated
2      1998 (71st)        goodbye , 20th century  збогум на дваесетиот бек!                       macedonian  not nominated
3      2004 (77th)               the great water              γолемата вода                       macedonian  not nominated
4      2006 (79th)                       kontakt                    контакт              macedonian , german  not nominated
5      2007 (80th)                       shadows                      сенки                       macedonian  not nominated
6      2008 (81st)          i'm from titov veles     јас сум од титов велес                       macedonian  not nominated
7      2009 (82nd)                      wingless              ocas ještěrky                            czech  not nominated
8      2010 (83rd)                       mothers                      мајки                       macedonian  not nominated
9      2011 (84th)              punk 's not dead          панкот не е мртов                       macedonian  not nominated
10     2012 (85th)                the third half            трето полувреме                       macedonian  not nominated
