    release      start  pieces board (inches)   board (cm)     type
0      1981       1942     415         37 19½        93 50   global
1      1984       1942     299         33 19½        83 50   global
2      1999       1941     373          30 20        75 50  theater
3      2001       1941     335          30 20        75 50  theater
4      2004       1944     241          30 20        75 50    local
5      2004       1942     366          33 20        83 50   global
6      2006       1944     157          30 20        75 50    local
7      2007       1942     172          30 20        75 50    local
8      2008  1941 / 42     672          46 24       115 60   global
9      2009       1942     370          33 20        83 50   global
10     2009       1940     455          35 32        89 81  theater
11     2010       1940     550          35 32        89 81  theater
12     2010       1940    1005          70 32       178 81   global
13     2012       1941     160      32.5 17.5        83 44   global
14     2012       1942     410          40 26       102 66   global
15     2012       1940     500          35 32        89 81  theater
16     2012       1940     610          35 32        89 81  theater
17     2012       1940    1110          70 32       178 81   global
18     2013       1914     400   32.5 x 32.25  82.6 x 81.9  theater
