   class                    team                driver             chassis - engine  laps
0     c1       liqui moly equipe           mauro baldi                porsche 962 c    77
1     c1              porsche ag  hans - joachim stuck                porsche 962 c    77
2     c1         brun motorsport        oscar larrauri                porsche 962 c    75
3     c1   porsche kremer racing        volker weidler                porsche 962 c    75
4     c1            joest racing           john winter                porsche 962 c    75
5     c2       spice engineering          fermín vélez           spice se86c - ford    73
6     c1    primagaz competition         jürgen lässig                porsche 962 c    73
7     c2       spice engineering             ray bellm           spice se87c - ford    73
8     c2  swiftair ecurie ecosse           ray mallock           ecosse c286 - ford    72
9     c2  swiftair ecurie ecosse             win percy           ecosse c286 - ford    71
10    c2           kelmar racing      maurizio gellini             tiga gc85 - ford    71
11    c1         silk cut jaguar         eddie cheever               jaguar xjr - 8    70
12    c1         brun motorsport           walter brun                porsche 962 c    69
13    c2         schanche racing              will hoy        argo jm19b - zakspeed    59
14    c2       tiga ford denmark     thorkild thyrring            tiga gc287 - ford    59
15    c1  blaupunkt joest racing        frank jelinski                porsche 962 c    76
16    c1  blaupunkt joest racing            bob wollek                porsche 962 c    76
17    c1   victor - dauer racing          jochen dauer                porsche 962 c    75
18    c2         urd junior team            rudi seher            urd c81 / 2 - bmw    69
19    c1         brun motorsport           jochen mass                porsche 962 c    47
20    c1         silk cut jaguar           jan lammers               jaguar xjr - 8    42
21    c1    formel rennsportclub        mike thackwell  sauber c9 - mercedes - benz    40
22    c1   walter lechner racing        walter lechner                porsche 962 c    29
23    c1      mussato action car      bruno giacomelli         lancia lc2 - ferrari    26
24    c2     karl - heinz becker   karl - heinz becker              lola t600 - bmw    13
25    c2    john bartlett racing            rob wilson        bardon db1 / 2 - ford     0
26    c2           gp motorsport            costas los            tiga gc287 - ford     0
