    round                                       race name      pole position     winning driver                  winning team
0       1        2006 imperial capital bank atlantic race      andreas wirth      andreas wirth  forsythe championship racing
1       2                              2006 fast trac 100      raphael matos      andreas wirth  forsythe championship racing
2       3                                  2006 monterrey       graham rahal       graham rahal     mi - jack conquest racing
3       4                        2006 trinity carpet 100k       graham rahal  james hinchcliffe  forsythe championship racing
4       5  2006 gehl atlantic championship of cleveland 1      andreas wirth       graham rahal     mi - jack conquest racing
5       6  2006 gehl atlantic championship of cleveland 2     simon pagenaud       graham rahal     mi - jack conquest racing
6       7                                    2006 toronto       graham rahal    robbie pecorari                 gelles racing
7       8                                   2006 edmonton      raphael matos     simon pagenaud                team australia
8       9                                   2006 san josé      raphael matos      raphael matos     sierra sierra enterprises
9      10                                     2006 denver       graham rahal       graham rahal     mi - jack conquest racing
10     11                                   2006 montréal  james hinchcliffe       graham rahal     mi - jack conquest racing
11     12                   2006 gehl championship finale      raphael matos  jonathan bomarito               pr1 motorsports
