     rank          nation  gold  silver  bronze  total
0       1    soviet union     8       2       1     11
1       2         hungary     2       2       3      7
2       3         romania     2       3       1      6
3       4          sweden     1       2       2      5
4       5    east germany     0       2       3      5
5       6    west germany     1       1       1      3
6       7          poland     0       2       1      3
7       8         austria     1       0       1      2
8       9          norway     1       0       0      1
9      10         denmark     0       1       0      1
10     11     netherlands     0       1       0      1
11     12         belgium     0       0       1      1
12     13        bulgaria     0       0       1      1
13     14  czechoslovakia     0       0       1      1
14  total           total    16      16      16     48
