                                              name                                   entered office                                      left office                                            party                                   first minister
0                                             name                                   entered office                                      left office                                            party                                   first minister
1                                     angus mackay                                      19 may 1999                                  2 november 2000                                           labour                                     donald dewar
2                                        iain gray                                  2 november 2000                                 28 november 2001                                           labour                                    henry mcleish
3                                  richard simpson                                 28 november 2001                                 26 november 2002                                           labour                                   jack mcconnell
4                                       hugh henry                                 28 november 2002                                 14 november 2006                                           labour                                   jack mcconnell
5                                    johann lamont                                 16 november 2006                                      17 may 2007                                           labour                                   jack mcconnell
6                    minister for community safety                    minister for community safety                    minister for community safety                    minister for community safety                    minister for community safety
7                                     fergus ewing                                      17 may 2007                                      20 may 2011                          scottish national party                                     alex salmond
8  minister for community safety and legal affairs  minister for community safety and legal affairs  minister for community safety and legal affairs  minister for community safety and legal affairs  minister for community safety and legal affairs
9                              roseanna cunningham                                      20 may 2011                                        incumbent                          scottish national party                                     alex salmond
