   country / region                        name                                              host (s)      channel                            premiere / aired        seasons
0           belgium                      de mol                                     michiel devlieger          vrt                          1999 - 2000 , 2003              3
1           belgium                      de mol                                                   tba         vier                                        2014              1
2          bulgaria        karticata (the mole)                          ivan hristov andrei arnaudov          tv7                26 march 2013 - 17 june 2013              1
3         catalonia                     el talp                                         pol izquierdo          tv3                                 autumn 2003              1
4            israel            ha - chafarperet                                           itai anghel    channel 2                            13 february 2001              1
5       netherlands        wie is de mol junior                                     sipke jan bousema  nederland 3                  17 may 2008 - 21 june 2008              1
6       netherlands        wie is de mol junior                                       art rooijakkers  nederland 3                                        2014              1
7       new zealand                    the mole                                         mark ferguson          tv2                                        2001              1
8            norway           muldvarpen (mole)  lars arentz - hansen (2000) ove christian owe (2001)          tv2                                 2000 - 2002              3
9            poland                       agent                                         marcin meller          tvn                                 2000 - 2002              3
10         portugal  o sabotador (the saboteur)                                            paulo nery         rtp1               9 september - 4 november 2001              1
11            spain    el traidor (the traitor)                           luis larrodera sergio muñiz       cuatro             12 july 2006 - 8 september 2006              1
12            spain          el topo (the mole)                          daniel domenjó emilio pineda    telecinco  25 june - july 2009 (cancelled mid series)  1 (cancelled)
13           sweden            mullvaden (mole)       pontus gårdinger (2000 - 01) hans fahlén (2007)      kanal 5                     2000 - 01 , spring 2007              4
