    year             driver              constructor        location         formula  report
0   1960       jack brabham          cooper - climax   roskilde ring       formula 2  report
1   1961      stirling moss           lotus - climax   roskilde ring       formula 1  report
2   1962       jack brabham           lotus - climax   roskilde ring       formula 1  report
3   1963       peter revson             cooper - bmc   roskilde ring  formula junior  report
4   1964  hartvig conradsen             cooper - bmc   roskilde ring  formula junior  report
5   1965     kurt ahrens jr           brabham - ford   roskilde ring       formula 3  report
6   1968  ingvar pettersson             tecno - ford   roskilde ring       formula 3  report
7   1973        randy lewis           brabham - ford   roskilde ring       formula 3  report
8   1974       jac nelleman               grd - ford  jyllandsringen       formula 3  report
9   1975       jac nelleman               grd - ford  jyllandsringen       formula 3  report
10  1976       jac nelleman      van diemen - toyota  jyllandsringen       formula 3  report
11  1977       jac nelleman         chevron - toyota  jyllandsringen       formula 3  report
12  1995     toni teittinen  reynard - mugen - honda  jyllandsringen       formula 3  report
