                           shooter              event              rank points             score points                    total
0                zhu qinan ( chn )           wcf 2007       defending champion       defending champion       defending champion
1           abhinav bindra ( ind )         og beijing    olympic gold medalist    olympic gold medalist    olympic gold medalist
2           henri häkkinen ( fin )         og beijing  olympic bronze medalist  olympic bronze medalist  olympic bronze medalist
3   alin george moldoveanu ( rou )          wc munich                       15                       14                       29
4               péter sidi ( hun )  wc rio de janeiro                       15                       13                       28
5           matthew emmons ( usa )         wc beijing                       10                       14                       24
6                cao yifei ( chn )           wc milan                       10                       11                       21
7             gagan narang ( ind )         wc beijing                        8                       12                       20
8            thomas farnik ( aut )          wc munich                        8                       12                       20
9      nemanja mirosavljev ( srb )  wc rio de janeiro                        8                       11                       19
10          artur ayvazyan ( ukr )           wc milan                        5                       12                       17
