    pick                  player    position     nationality                                       nhl team          college / junior / club team
0    109         andy berenzweig     defence   united states               new york islanders (from ottawa)         university of michigan (ncaa)
1    110              peter cava      centre          canada            toronto maple leafs (from san jose)      sault ste marie greyhounds (ohl)
2    111          brandon sugden  right wing          canada  toronto maple leafs (from new york islanders)                  london knights (ohl)
3    112           ryan christie   left wing          canada                dallas stars (from los angeles)              owen sound platers (ohl)
4    113           evgeny tsybuk     defence          russia                                   dallas stars            yaroslavl torpedo (russia)
5    114             brian urick  right wing   united states                                edmonton oilers                     notre dame (ncaa)
6    115          alexei tezikov     defence          russia                                 buffalo sabres            hc lada togliatti (russia)
7    116            mark mcmahon     defence          canada                               hartford whalers               kitchener rangers (ohl)
8    117         brendan buckley     defence   united states                        mighty ducks of anaheim                 boston college (ncaa)
9    118          glenn crawford      centre          canada                              new jersey devils               windsor spitfires (ohl)
10   119         richard lintner     defence        slovakia                                  winnipeg jets                 trenčín jr (slovakia)
11   120             jesse black     defence          canada               los angeles kings (compensatory)           niagara falls thunder (ohl)
12   121         tyler prosofsky      centre          canada                              vancouver canucks                 kelowna rockets (whl)
13   122            josef straka      centre  czech republic                                 calgary flames          hc litvínov (czech republic)
14   123             peter hogan     defence          canada              los angeles kings (from st louis)                 oshawa generals (ohl)
15   124  per - ragnar bergkvist  goaltender          sweden             philadelphia flyers (from toronto)                  leksands if (sweden)
16   125          jason robinson     defence          canada                            tampa bay lightning           niagara falls thunder (ohl)
17   126              matt lahey   left wing          canada                            washington capitals              peterborough petes (ohl)
18   127      daniel archambault     defence          canada                             montreal canadiens            val - d'or foreurs (qmjhl)
19   128              petr sachl      centre  czech republic               new york islanders (from boston)  hc české budějovice (czech republic)
20   129             andrew long      centre          canada                               florida panthers                    guelph storm (ohl)
21   130            andy johnson     defence          canada                             chicago blackhawks              peterborough petes (ohl)
22   131         colin pepperall   left wing          canada                               new york rangers           niagara falls thunder (ohl)
23   132       elias abrahamsson     defence          sweden   boston bruins (from pittsburgh via san jose)            halifax mooseheads (qmjhl)
24   133         jesse boulerice  right wing   united states                            philadelphia flyers                 detroit whalers (ohl)
25   134             luke curtin   left wing   united states                             colorado avalanche                 kelowna rockets (whl)
