    rank                                            title                     studio          director      gross
0      1                                         rain man             united artists    barry levinson  172825435
1      2                          who framed roger rabbit        touchstone / amblin   robert zemeckis  156452370
2      3                                coming to america                  paramount       john landis  128152301
3      4                                              big  20th century fox / gracie    penny marshall  114968774
4      5                                            twins                  universal      ivan reitman  111938388
5      6                              crocodile dundee ii                  paramount      john cornell  109306210
6      7                                         die hard  20th century fox / silver    john mctiernan   83008852
7      8  the naked gun : from the files of police squad!                  paramount      david zucker   78756177
8      9                                         cocktail                 touchstone   roger donaldson   78222753
9     10                                      beetlejuice       geffen / warner bros        tim burton   73707461
10    11                                     working girl           20th century fox      mike nichols   63779477
11    12                              a fish called wanda                        mgm  charles crichton   62493712
12    13                                         scrooged                  paramount    richard donner   60328558
13    14                                           willow            lucasfilm / mgm        ron howard   57269863
14    15                                          beaches                 touchstone    garry marshall   57041866
15    16                                        rambo iii       tri - star / carolco   peter macdonald   53715611
16    17                                 oliver & company                     disney   george scribner   53279055
17    18                                      bull durham                      orion       ron shelton   50888729
18    19    a nightmare on elm street 4: the dream master                   new line      renny harlin   49369899
19    20                             the land before time         universal / amblin         don bluth   48092846
