    year                                   award          category                             film     result
0   1986                           kinnera award        best actor               kaliyuga pandavulu        won
1   1986                            nandi awards   best male debut               kaliyuga pandavulu        won
2   1988                           kinnera award        best actor                  brahma puthrudu        won
3   1988                nandi special jury award        best actor                   swarna kamalam        won
4   1988              nandi award for best actor        best actor                            prema        won
5   1988  filmfare award for best actor - telugu        best actor                            prema        won
6   1990  filmfare award for best actor - telugu        best actor                     bobbili raja        won
7   1991                       bhagyanagar award        best actor                         shatruvu        won
8   1991                                cinegoer        best actor                       coolie no1        won
9   1991                   madras filmfans award        best actor                       coolie no1        won
10  1992                        yuvavahini award        best actor                     sundarakanda        won
11  1992                         cinegoers award        best actor                     sundarakanda        won
12  1993                         kalasagar award        best actor                        abbaigaru        won
13  1993                         cinegoers award  best performance                        abbaigaru        won
14  1995              nandi award for best actor        best actor                   dharma chakram        won
15  1996  filmfare award for best actor - telugu        best actor                   dharma chakram        won
16  1995                         kalasagar award        best actor                   dharma chakram        won
17  1995                     vamsi berkley award        best actor                   dharma chakram        won
18  1996                     vamsi berkley award         best film                 pavithra bandham        won
19  1998              nandi award for best actor        best actor                           ganesh        won
20  1998  filmfare award for best actor - telugu        best actor                           ganesh        won
21  1998                          kinnera awards        best actor                           ganesh        won
22  2000              nandi award for best actor        best actor                   kalisundam raa        won
23  2000  filmfare award for best actor - telugu        best actor                 jayam manade raa        won
24  2005  filmfare award for best actor - telugu        best actor                       sankranthi  nominated
25  2005              santosham best actor award        best actor                       sankranthi        won
26  2007              nandi award for best actor        best actor  adavari matalaku ardhale verule        won
27  2007              santosham best actor award        best actor  adavari matalaku ardhale verule        won
28  2007  filmfare award for best actor - telugu        best actor  adavari matalaku ardhale verule  nominated
