     rank                nation  gold  silver  bronze  total
0       1                  iran     5       1       0      6
1       2               lebanon     4       0       4      8
2       3           philippines     4       0       1      5
3       4                 china     3       4       1      8
4       5                 qatar     2       5       4     11
5       6                 syria     1       3       2      6
6       7           south korea     1       2       3      6
7       8                jordan     1       2       1      4
8       9          saudi arabia     1       2       0      3
9      10             hong kong     1       1       0      2
10     11                 japan     0       2       0      2
11     12              malaysia     0       1       1      2
12     13                kuwait     0       0       2      2
13     14               bahrain     0       0       1      1
14     14        chinese taipei     0       0       1      1
15     14             indonesia     0       0       1      1
16     14                  iraq     0       0       1      1
17     14  united arab emirates     0       0       1      1
18  total                 total    23      23      24     70
