   series ep  episode               segment a                 segment b                        segment c                        segment d
0    13 - 01      157                 hammers              swiss cheese                    roller skates                 coloured pencils
1    13 - 02      158   carbon fiber bicycles            blood products               forged chandeliers                   ballpoint pens
2    13 - 03      159       swiss army knives        player piano rolls                      oil tankers                    racing wheels
3    13 - 04      160           bowling balls              barber poles                             felt                       radar guns
4    13 - 05      161    copper pipe fittings      cylinder music boxes                     pepper mills         hot rod steering columns
5    13 - 06      162                   gears        leather watchbands                  vitrelle dishes                   kitchen shears
6    13 - 07      163        pressure cookers  mechanical singing birds              oceanographic buoys  stainless - steel tank trailers
7    13 - 08      164         aluminium boats              alpine horns         es luxury watch (part 1)         es luxury watch (part 2)
8    13 - 09      165  all - terrain vehicles               alpine skis                    laser cutters                marble sculptures
9    13 - 10      166             socket sets             leather shoes          aluminium water bottles                      bike chains
10   13 - 11      167  carved wood sculptures                  flatware                        cow bells                    fountain pens
11   13 - 12      168               olive oil              lift s truck            seamless rolled rings                        ski boots
12   13 - 13      169   professional cookware       luxury inlaid boxes  high - efficiency water heaters                         scooters
