                     year                           venue                    winner                country                  score
0                    2013   club de campo villa de madrid           lee - anne pace           south africa                    275
1                    2012        las americas golf course            stacey keating              australia                    279
2                    2011           la quinta golf resort              melissa reid                england                    280
3                    2010             flamingos golf club              laura davies                england                    202
4                    2009         panorámica club de golf           becky brewerton                  wales                    270
5                    2008         panorámica club de golf           emma zackrisson                 sweden                    281
6                    2007  club de campo del mediterráneo             nikki garrett              australia                    275
7                    2006         panorámica club de golf           lynnette brooky            new zealand                    275
8                    2005         panorámica club de golf              iben tinning                denmark                    273
9                    2004          club de golf la coruña         stéphanie arricau                 france                    279
10                   2003     campos de golf de salamanca            federica dassu                  italy                    282
11                   2002     campos de golf de salamanca              karine icher                 france                    277
12            1997 - 2001                   no tournament             no tournament          no tournament          no tournament
13  la manga spanish open           la manga spanish open     la manga spanish open  la manga spanish open  la manga spanish open
14                   1996                   la manga club                caryn louw           south africa                    206
15                   1995                   la manga club       rachel hetherington              australia                    202
16                   1994                   la manga club  marie - laure de lorenzi                 france                    282
17              1989 - 93                   no tournament             no tournament          no tournament          no tournament
18                   1988                   la manga club        marie - laure taya                 france                    207
19                   1987                   la manga club            corinne dibnah              australia                    276
20                   1986                   la manga club              laura davies                england                    286
21                   1985                   la manga club             alison sheard           south africa                    285
22                   1984                   la manga club             maxine burton                england                    286
23                   1983                   no tournament             no tournament          no tournament          no tournament
24                   1982                        las aves               rosie jones          united states                    224
