    round  pick  overall             name          position                 college
0       2     5       31      leo carroll     defensive end         san diego state
1       3     4       57     jimmy jordan      running back                 florida
2       5     5      112     bill delaney         tight end  american international
3       5    13      120     randy matson  defensive tackle               texas a&m
4       6    15      148    eugene snipes      running back          elizabeth city
5       6    18      151  martine bircher    defensive back                arkansas
6       7     3      162   corey colehour       quarterback            north dakota
7       9     4      215        bob moten     wide receiver          bishop college
8      10     3      240   dick schafroth  offensive tackle              iowa state
9      11     5      268      john walker        linebacker           jackson state
10     12     3      293      bill gentry        linebacker    north carolina state
11     13     2      317     sandor szabo            kicker                  ithaca
12     14     5      346        tom bryan      running back                  auburn
13     15     4      371      al nicholas      running back        sacramento state
14     16     3      396    larry chester    defensive back                   allen
15     17     5      424     bill buckner       quarterback             delta state
