     rank               nation  gold  silver  bronze  total
0       1              england    16       5      12     33
1       2            australia     7      10       7     25
2       3               canada     6       8      10     24
3       4                kenya     5       4       2     11
4       5             scotland     2       1       3      6
5       6              jamaica     1       2       2      5
6       7             tanzania     1       1       0      2
7       8                wales     1       0       0      1
8       9  trinidad and tobago     0       2       1      3
9      10          new zealand     0       2       0      2
10     11               guyana     0       1       1      2
11     12              bahamas     0       1       0      1
12     13                india     0       0       1      1
13  total                total    38      38      39    115
