   pick           player   position    nationality          nhl team           college / junior / club team
0    11  chris govedaris  left wing         canada  hartford whalers                toronto marlboros (ohl)
1    32    barry richter    defence  united states  hartford whalers    culver military academy (ushs - in)
2    74        dean dyer     centre         canada  hartford whalers  lake superior state university (ncaa)
3    95     scott morrow  left wing  united states  hartford whalers           northwood school (ushs - ny)
4   137    kerry russell          c         canada  hartford whalers       michigan state university (ncaa)
5   158        jim burke          d  united states  hartford whalers             university of maine (ncaa)
6   179       mark hirth          c  united states  hartford whalers       michigan state university (ncaa)
7   200     wayde bucsis         lw         canada  hartford whalers            prince albert raiders (whl)
8   221        rob white          d         canada  hartford whalers          st lawrence university (ncaa)
9   242     dan slatalla          c  united states  hartford whalers          deerfield academy (ushs - ma)
