                      race name                            circuit               city / location          date       pole position      winning driver          winning team  report
0                   checker 200      phoenix international raceway             phoenix , arizona      april 10          rick mears      mario andretti  newman / haas racing  report
1         long beach grand prix              streets of long beach       long beach , california      april 17      danny sullivan       al unser , jr         galles racing  report
2         72nd indianapolis 500        indianapolis motor speedway            speedway , indiana        may 29          rick mears          rick mears           team penske  report
3           dana - rex mays 200                     milwaukee mile        west allis , wisconsin        june 5    michael andretti          rick mears           team penske  report
4    budweiser / g i joe 's 200     portland international raceway             portland , oregon       june 19      danny sullivan      danny sullivan           team penske  report
5          cleveland grand prix  cleveland burke lakefront airport              cleveland , ohio        july 3      danny sullivan      mario andretti  newman / haas racing  report
6           molson indy toronto                   exhibition place             toronto , ontario       july 17      danny sullivan       al unser , jr         galles racing  report
7        meadowlands grand prix         meadowlands sports complex  east rutherford , new jersey       july 24  emerson fittipaldi       al unser , jr         galles racing  report
8                  marlboro 500    michigan international speedway           brooklyn , michigan      august 7          rick mears      danny sullivan           team penske  report
9              quaker state 500                     pocono raceway      long pond , pennsylvania     august 21          rick mears         bobby rahal            truesports  report
10     escort radar warning 200       mid - ohio sports car course              lexington , ohio   september 4      danny sullivan  emerson fittipaldi        patrick racing  report
11            race for life 200                       road america      elkhart lake , wisconsin  september 11      danny sullivan  emerson fittipaldi        patrick racing  report
12  bosch spark plug grand prix                  nazareth speedway       nazareth , pennsylvania  september 25      danny sullivan      danny sullivan           team penske  report
13      champion spark plug 300          mazda raceway laguna seca         monterey , california    october 16      danny sullivan      danny sullivan           team penske  report
14           marlboro challenge                       tamiami park     university park , florida    november 5      danny sullivan    michael andretti          kraco racing  report
15         miami indy challenge                       tamiami park     university park , florida    november 6      danny sullivan       al unser , jr         galles racing  report
