     rank          nation  gold  silver  bronze  total
0       1          russia     5       6       6     17
1       2   united states     4       3       0      7
2       3            cuba     4       1       2      7
3       4           china     3       0       0      3
4       5           japan     2       2       1      5
5       6          norway     2       1       2      5
6       7          turkey     2       1       0      3
7       8          france     1       1       2      4
8       8     south korea     1       1       2      4
9      10         armenia     1       1       0      2
10     10            iran     1       1       0      2
11     12          sweden     1       0       1      2
12     13         austria     1       0       0      1
13     13        bulgaria     1       0       0      1
14     15         belarus     0       2       0      2
15     16          canada     0       1       2      3
16     16         germany     0       1       2      3
17     18         georgia     0       1       1      2
18     18          poland     0       1       1      1
19     18       venezuela     0       1       1      2
20     21      kazakhstan     0       1       0      1
21     21         moldova     0       1       0      1
22     21         romania     0       1       0      1
23     21         ukraine     0       1       0      1
24     25  chinese taipei     0       0       2      2
25     25      uzbekistan     0       0       2      2
26     27         finland     0       0       1      1
27     27        mongolia     0       0       1      1
28  total           total    29      29      29     87
