    year       champion         runner - up          score                     city                   venue
0   1913  (abandoned) 1       (abandoned) 1  (abandoned) 1            (abandoned) 1           (abandoned) 1
1   1916       nacional              racing          2 - 1               montevideo                   n / e
2   1917         racing            nacional          2 - 2               montevideo                   n / e
3   1918         racing             peñarol          2 - 1             buenos aires                   n / e
4   1919       nacional        boca juniors          3 - 0               montevideo                   n / e
5   1920       nacional        boca juniors          2 - 1             buenos aires                   n / e
6   1923    san lorenzo  atlético wanderers          1 - 0             buenos aires                   n / e
7   1927    san lorenzo      rampla juniors          1 - 0               montevideo                   n / e
8   1928        peñarol             huracán          3 - 0             buenos aires             river plate
9   1936    river plate             peñarol          5 - 1               montevideo              centenario
10  1937    river plate             peñarol          5 - 2             buenos aires             san lorenzo
11  1938  independiente             peñarol          3 - 1               montevideo              centenario
12  1939  independiente            nacional          5 - 0             buenos aires             san lorenzo
13  1940       nacional        boca juniors          2 - 2               montevideo              centenario
14  1941    river plate            nacional    6 - 1 1 - 1  buenos aires montevideo  san lorenzo centenario
15  1942       nacional         river plate          4 - 0               montevideo              centenario
16  1945    river plate             peñarol    2 - 1 3 - 2  montevideo buenos aires  centenario san lorenzo
17  1946       nacional         san lorenzo    2 - 3 7 - 2  buenos aires montevideo      huracán centenario
18  1947    river plate            nacional    4 - 3 3 - 1  montevideo buenos aires        centenario n / e
19  1955    river plate            nacional          2 - 1               montevideo              centenario
