           municipality  no of s barangay  area (km square)  population (2007)  population (2010)
0                 basud                29            260.28              36763              38176
1             capalonga                22            290.00              29683              31299
2   daet (capital town)                25             46.00              94184              95572
3       jose panganiban                27            214.44              49028              55557
4                  labo                52            589.36              88087              92041
5              mercedes                26            173.69              44375              47674
6              paracale                27            197.90              46856              53243
7      san lorenzo ruiz                12            119.37              12299              12592
8           san vicente                 9             57.49               9615              10114
9           santa elena                19            199.35              40300              40828
10              talisay                15             30.76              22942              23904
