       season     champion         runner - up        3rd position              top goalscorer (s)  team (s)
0        1992        norma     eesti põlevkivi                tvmk                           norma        18
1   1992 - 93        norma               flora               nikol                           norma        27
2   1993 - 94        flora               norma    nikol / marlekor                     narva trans        21
3   1994 - 95        flora  lantana / marlekor         narva trans              lantana / marlekor        25
4   1995 - 96      lantana               flora  tevalte / marlekor                           flora        16
5   1996 - 97      lantana               flora            marlekor                         lantana        18
6   1997 - 98        flora      tallinna sadam             lantana                  tallinna sadam        18
7        1998        flora      tallinna sadam             lantana                  tallinna sadam        13
8        1999      levadia    viljandi tulevik               flora                         levadia        19
9        2000      levadia               flora                tvmk                    tvmk levadia        24
10       2001        flora                tvmk             levadia                     narva trans        37
11       2002        flora             levadia                tvmk                            tvmk        37
12       2003        flora                tvmk             levadia                           flora        39
13       2004      levadia                tvmk               flora                           flora        28
14       2005         tvmk             levadia         narva trans                            tvmk        41
15       2006      levadia         narva trans               flora                     narva trans        31
16       2007      levadia               flora                tvmk                     narva trans        30
17       2008      levadia               flora         narva trans             levadia nõmme kalju        22
18       2009      levadia      sillamäe kalev         narva trans                         levadia        26
19       2010        flora             levadia         narva trans                           flora        24
20       2011        flora         nõmme kalju         narva trans                     narva trans        46
21       2012  nõmme kalju             levadia               flora  sillamäe kalev and narva trans        23
