   letters             organization                    nickname   founding date                               founding university        type
0     ακδφ  alpha kappa delta phi 1                       kdphi  1990 - 02 - 07               university of california , berkeley    sorority
1      αφγ        alpha phi gamma 1                       aphig  1994 - 02 - 01  california state polytechnic university , pomona    sorority
2      αψρ            alpha psi rho        apsirho or rho doggs  2000 - 03 - 01                        san diego state university  fraternity
3      ασλ       alpha sigma lambda                  alpha sigs  1993 - 10 - 15  california state polytechnic university , pomona  fraternity
4      ασρ          alpha sigma rho  alphas , asr or alpha sigs  1998 - 04 - 02                             university of georgia    sorority
5      βπφ              beta pi phi           betas or betafish  2005 - 12 - 15                                 temple university  fraternity
6      βυδ       beta upsilon delta                        buds   1998 - 8 - 21              university of california , riverside  fraternity
7      βωφ           beta omega phi                       betas  1965 - 00 - 00         california state university , los angeles  fraternity
8       γβ               gamma beta                         gbs  2000 - 05 - 01                     university of texas at austin  fraternity
9      γεω      gamma epsilon omega                      gammas  1963 - 00 - 00                 university of southern california  fraternity
10     δχψ            delta chi psi             deltas or dxpsi  2004 - 12 - 18                                 temple university  fraternity
11     δλχ         delta lambda chi                         dlc  2002 - 02 - 09                 university of california , irvine    sorority
12     δφκ          delta phi kappa                      deltas  1960 - 05 - 06                 university of southern california    sorority
13     δφλ       delta phi lambda 1                       dphil  1998 - 12 - 05                             university of georgia    sorority
14     ζφρ             zeta phi rho                       zetas  1995 - 08 - 10          california state university , long beach  fraternity
15     θδβ         theta delta beta     thetas or the dark boyz  1990 - 00 - 00                 university of california , irvine  fraternity
16     θκφ          theta kappa phi                      thetas  1959 - 00 - 00            university of california , los angeles    sorority
17     κζφ           kappa zeta phi                      kappas  1960 - 12 - 00         california state university , los angeles    sorority
18     κφλ       kappa phi lambda 1               kappas or kpl  1995 - 03 - 09                                   suny binghamton    sorority
19     κπβ            kappa pi beta                        kpib  2000 - 03 - 16                      northern illinois university  fraternity
20     κγδ        kappa gamma delta                         kgd  1997 - 04 - 17                    indiana university bloomington    sorority
21     λφε   lambda phi epsilon 1 2            lambdas or lphie  1981 - 02 - 25            university of california , los angeles  fraternity
22     λθδ       lambda theta delta                         ltd  1983 - 03 - 02                 university of california , irvine  fraternity
23     ναφ             nu alpha phi                     nappies  1994 - 03 - 18            state university of new york at albany  fraternity
24      ξκ                 xi kappa                          xk  1998 - 02 - 28                             university of georgia  fraternity
25     φδσ          phi delta sigma              phi sig or fds  2007 - 08 - 07             university of maryland , college park  fraternity
26     παφ           pi alpha phi 1      paphi 's or pineapples  1929 - 02 - 01               university of california , berkeley  fraternity
27     πδψ           pi delta psi 1                       pdpsi  1994 - 02 - 20        state university of new york at binghamton  fraternity
28      ρψ                  rho psi                   su yu she  1916 - 00 - 00                                cornell university  fraternity
29     ρδχ            rho delta chi                        rhos  1991 - 01 - 17              university of california , riverside    sorority
30     σοπ       sigma omicron pi 1                        sopi  1930 - 00 - 00                    san francisco state university    sorority
31     σφω          sigma phi omega                      sigmas  1949 - 00 - 00                 university of southern california    sorority
32     σψζ         sigma psi zeta 1               syz or sigmas  1994 - 03 - 23                              university at albany    sorority
33     χαδ          chi alpha delta                        chis  1928 - 00 - 00            university of california , los angeles    sorority
34     χδθ          chi delta theta                   chi delts  1989 - 10 - 13          university of california , santa barbara    sorority
35     χστ          chi sigma tau 1             chi sigs or cst  1999 - 09 - 09                 university of illinois at chicago  fraternity
36     ψχω            psi chi omega                  psi chi 's  1992 - 01 - 24              university of california , san diego  fraternity
37     ωφγ          omega phi gamma                      omegas  1995 - 05 - 21                     university of texas at austin  fraternity
