     height (m)  no of times visited  no of hc climbs  first time as hc climb  most recent
0          2744                    2                2                    2008         2011
1   1850 / 1860                   29               25                    1979         2013
2          2240                    2                2                    1997         2009
3          1655                    2                1                    2013         2013
4          1709                   48               14                    1980         2012
5          1755                    3                3                    2007         2012
6          1780                    5                5                    1998         2011
7          2715                    4                2                    1993         2008
8          1730                    1                1                    2001         2001
9          2067                   16                8                    1989         2012
10  2556 / 2645                   56               19                    1979         2011
11         1924                   12                4                    1981         2013
12         1501                    1                1                    2012         2012
13         2465                    5                1                    2009         2009
14         2413                    1                1                    1986         1986
15         1560                    4                4                    1994         2008
16         2770                    5                2                    1992         2007
17         1900                    1                1                    1993         1993
18         2360                   32                6                    1986         2011
19         1691                   11                6                    1981         2006
20         1980                    4                4                    1984         2002
21         1573                    2                2                    1996         2007
22         1160                    1                1                    1984         1984
23         2351                    1                1                    2008         2008
24         1715                    8                8                    1985         2011
25         1993                   25               17                    1980         2013
26         2083                    5                1                    1999         1999
27         2001                    5                4                    2005         2013
28         1669                    9                4                    1981         2005
29         1630                    2                1                    1980         1980
30         1415                   13                2                    1983         1986
31         1540                    6                2                    1987         2006
32         1474                   22                1                    1982         1982
33         1770                    6                1                    1986         1986
34         2115                   82               23                    1980         2012
35         2275                    1                1                    1994         1994
36         1909                   15                5                    1987         2013
