    year  start     qual  rank  finish  laps
0   1949     21  126.516    29      11   175
1   1950     28  129.959    24      24   122
2   1952     10  136.343     7       2   200
3   1953     25  135.666    28       7   200
4   1954     28  138.228    21      28   110
5   1955     20  138.707    24      14   191
6   1956      2  145.120     3      20   175
7   1957     32  139.806    31       2   200
8   1958     20  143.147    15       5   200
9   1959      3  144.433     4       2   200
10  1960      2  146.371     4       1   200
11  1961     11  145.413    13      30    48
12  1962     23  146.610    21       9   200
13  1963     29  147.838    32      24    99
