                           series        premiere date  no of seasons           city                                  starring
0                      date my ex       july 21 , 2008              1  orange county                             jo de la rosa
1             bethenny ever after       june 10 , 2010              3  new york city                          bethenny frankel
2      boys to manzo (web series)        may 30 , 2011              1     new jersey  albie manzo , chris manzo , greg bennett
3               the kandi factory       march 4 , 2012              1        atlanta                             kandi burruss
4                  don't be tardy      april 26 , 2012              2        atlanta                               kim zolciak
5        havana elsa (web series)  september 13 , 2012              1          miami                               elsa patton
6                vanderpump rules     january 7 , 2013              2  beverly hills                           lisa vanderpump
7             tamra 's oc wedding   september 2 , 2013              1  orange county                              tamra barney
8   i dream of nene : the wedding  september 17 , 2013              1        atlanta                               nene leakes
9         rich people 's problems                  tba              1        atlanta                             phaedra parks
10          manzo'd with children                  tba              1     new jersey                            caroline manzo
